student_id,student_name,department,current_year,section,attendance,CA_1_internal_marks,assignments,study_hours
SKP-IT-B01,Arun Kumar,Information Technology,3,IT-B,88,82,85,5.5
SKP-IT-B02,Priya Sharma,Information Technology,3,IT-B,92,88,90,6.0
SKP-IT-B03,Karthik R,Information Technology,3,IT-B,76,68,72,3.5
SKP-IT-B04,Divya Nair,Information Technology,3,IT-B,95,91,93,6.5
SKP-IT-B05,Vignesh S,Information Technology,3,IT-B,45,38,42,1.5
SKP-IT-B06,Meera Krishnan,Information Technology,3,IT-B,82,78,80,4.5
SKP-IT-B07,Suresh Babu,Information Technology,3,IT-B,68,62,65,3.0
SKP-IT-B08,Anjali Devi,Information Technology,3,IT-B,90,85,88,5.8
SKP-IT-B09,Ramesh P,Information Technology,3,IT-B,52,45,48,2.0
SKP-IT-B10,Kavitha S,Information Technology,3,IT-B,87,81,84,5.2
SKP-IT-B11,Prakash M,Information Technology,3,IT-B,73,67,70,3.8
SKP-IT-B12,Lakshmi R,Information Technology,3,IT-B,94,89,91,6.2
SKP-IT-B13,Ganesh K,Information Technology,3,IT-B,48,42,45,1.8
SKP-IT-B14,Sneha V,Information Technology,3,IT-B,85,79,82,5.0
SKP-IT-B15,Venkatesh N,Information Technology,3,IT-B,70,64,67,3.2
SKP-IT-B16,Padma S,Information Technology,3,IT-B,91,86,89,5.9
SKP-IT-B17,Mohan Raj,Information Technology,3,IT-B,55,48,52,2.2
SKP-IT-B18,Revathi K,Information Technology,3,IT-B,83,77,80,4.8
SKP-IT-B19,Senthil Kumar,Information Technology,3,IT-B,78,72,75,4.0
SKP-IT-B20,Nandini P,Information Technology,3,IT-B,96,92,94,6.8
SKP-IT-B21,Aravindan T,Information Technology,3,IT-B,42,35,38,1.2
SKP-IT-B22,Bhuvana S,Information Technology,3,IT-B,89,84,87,5.6
SKP-IT-B23,Dinesh R,Information Technology,3,IT-B,66,60,63,2.8
SKP-IT-B24,Hema Malini,Information Technology,3,IT-B,93,88,90,6.1
SKP-IT-B25,Ilavarasan M,Information Technology,3,IT-B,50,44,47,1.9
SKP-IT-B26,Jaya Prada,Information Technology,3,IT-B,86,80,83,5.1
SKP-IT-B27,Kannan S,Information Technology,3,IT-B,72,66,69,3.6
SKP-IT-B28,Leela R,Information Technology,3,IT-B,97,93,95,7.0
SKP-IT-B29,Murugan P,Information Technology,3,IT-B,38,32,35,1.0
SKP-IT-B30,Nalini K,Information Technology,3,IT-B,84,78,81,4.9
SKP-IT-B31,Om Prakash,Information Technology,3,IT-B,69,63,66,3.1
SKP-IT-B32,Preethi S,Information Technology,3,IT-B,92,87,90,6.0
SKP-IT-B33,Quaid-e-Milleth,Information Technology,3,IT-B,47,41,44,1.7
SKP-IT-B34,Rajalakshmi V,Information Technology,3,IT-B,88,83,86,5.7
SKP-IT-B35,Saravanan T,Information Technology,3,IT-B,74,68,71,3.9
SKP-IT-B36,Thilagavathi R,Information Technology,3,IT-B,95,90,92,6.5
SKP-IT-B37,Uma Maheswari,Information Technology,3,IT-B,44,38,41,1.4
SKP-IT-B38,Vasanth K,Information Technology,3,IT-B,81,75,78,4.6
SKP-IT-B39,Yamuna S,Information Technology,3,IT-B,77,71,74,3.7
SKP-IT-B40,Zahira Begum,Information Technology,3,IT-B,90,85,88,5.8
SKP-IT-B41,Aakash R,Information Technology,3,IT-B,53,47,50,2.1
SKP-IT-B42,Bharathi N,Information Technology,3,IT-B,87,82,85,5.3
SKP-IT-B43,Chandran M,Information Technology,3,IT-B,71,65,68,3.3
SKP-IT-B44,Deepa S,Information Technology,3,IT-B,93,89,91,6.3
SKP-IT-B45,Ezhilarasan P,Information Technology,3,IT-B,49,43,46,1.6
SKP-IT-B46,Fathima N,Information Technology,3,IT-B,85,79,82,5.0
SKP-IT-B47,Gopalakrishnan V,Information Technology,3,IT-B,67,61,64,2.9
SKP-IT-B48,Harini R,Information Technology,3,IT-B,94,89,92,6.4
SKP-IT-B49,Isaac Newton S,Information Technology,3,IT-B,41,35,38,1.3
SKP-IT-B50,Janani K,Information Technology,3,IT-B,86,81,84,5.4
SKP-IT-B51,Krishnamoorthy T,Information Technology,3,IT-B,75,69,72,4.1
SKP-IT-B52,Lalitha Devi,Information Technology,3,IT-B,91,86,89,5.9
SKP-IT-B53,Manikandan R,Information Technology,3,IT-B,46,40,43,1.5
SKP-IT-B54,Nithya S,Information Technology,3,IT-B,89,84,87,5.6
SKP-IT-B55,Palanisamy K,Information Technology,3,IT-B,73,67,70,3.4
SKP-IT-B56,Ranjani P,Information Technology,3,IT-B,96,91,93,6.6
SKP-IT-B57,Sathyamoorthy V,Information Technology,3,IT-B,39,33,36,1.1
SKP-IT-B58,Tharani M,Information Technology,3,IT-B,82,76,79,4.7
SKP-IT-B59,Udhaya Kumar,Information Technology,3,IT-B,70,64,67,3.2
SKP-IT-B60,Vijaya Lakshmi,Information Technology,3,IT-B,93,88,90,6.2
